id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
4465575;Three storey house with a garage;22594722;Maike & Caspar;;Oostelijk Havengebied - Indische Buurt;5237202;495011;Entire home/apt;152;3;26;28.04.19;0.46;2;0
4466122;Trendy appartment in A'dam east;22559698;Bram;;Oud-Oost;5236345;493032;Entire home/apt;150;3;3;05.01.15;0.05;1;0
4466667;GREAT APARTMENT IN JORDAN AREA,WESTERPARK,W/GARDEN;14183886;Luis;;Westerpark;5238368;487315;Entire home/apt;100;3;6;03.06.19;0.16;29;186
4467049;AMAZING luxury renovated apt with balcony!;6537624;Loes;;Zuid;5234789;48614;Entire home/apt;300;3;23;21.04.19;0.42;1;0
4467898;Beautiful waterfront villa 180m2;23179135;Bart & Manon;;IJburg - Zeeburgereiland;5235932;49814;Entire home/apt;190;4;11;05.05.19;0.26;2;184
4470364;Luxurious apartment in Amsterdam centre;23192776;Tamana;;Westerpark;523791;487149;Entire home/apt;125;1;2;18.09.18;0.18;1;0
4472761;NEW! Cozy appartment  with garden!;3545120;Dorien;;De Pijp - Rivierenbuurt;523538;490009;Entire home/apt;150;2;33;06.07.19;0.62;1;0
4476077;SuperCentral family apartment;22534748;Gernant;;Westerpark;5238415;487014;Entire home/apt;160;4;5;31.12.18;0.16;1;249
4479875;Nice appartment at the edge of the city;23244736;Hp;;Gaasperdam - Driemond;5230166;498732;Entire home/apt;90;30;10;15.10.18;0.54;1;0
4480676;Spacious apartment Rivierenbuurt;2064137;Sophie;;De Pijp - Rivierenbuurt;5234329;490441;Entire home/apt;120;2;0;;;1;0
4481117;Clean and cozy apartment;23027423;Jitske;;De Baarsjes - Oud-West;5237294;485572;Entire home/apt;59;4;7;03.06.19;0.14;1;0
4481240;Cosy and luxe apartment in Amsterdam;23251696;Annemarie;;Westerpark;5239022;487991;Entire home/apt;84;3;10;29.06.19;0.42;1;0
4482635;Luxery family house with garden + free parking;10254726;Maarten;;IJburg - Zeeburgereiland;5234865;500483;Entire home/apt;95;3;5;30.06.18;0.19;1;0
4486178; BEST 4 COUPLES+VONDELPARK+CENTER !;14183886;Luis;;De Baarsjes - Oud-West;5235992;486804;Entire home/apt;114;3;36;28.08.15;0.63;29;129
4487817;Spacious room near Museums quarter;3539607;Arina;;Oud-Oost;5235851;492745;Private room;80;2;11;06.07.19;0.22;1;300
4487975;Large sunny flat, balcony, WiFi;14641242;Cecily;;Oud-Oost;5235718;492507;Entire home/apt;105;5;25;31.08.17;0.44;1;68
4488094;Nice apt. close to the city centre;23284289;Rogier;;De Pijp - Rivierenbuurt;5234366;491033;Entire home/apt;99;7;35;09.06.19;0.64;1;39
4488534;Cosy & Modern apt in Westerpark;8098975;Carlos;;Westerpark;5238442;487585;Entire home/apt;159;5;25;31.07.18;0.48;1;208
4488692;Luxury new apartment;23286921;Mireille & Daan;;Centrum-Oost;5236227;488631;Private room;230;4;244;19.06.19;Apr/30;1;293
